remark;"CSV-Import-Export"
remark;"Date = Fri Jul 29 11:57:42 2022"
remark;"Version = RSLogix 5000 v31.02"
remark;"Owner = enviro"
remark;"Company = "
0.3
TYPE;SCOPE;NAME;DESCRIPTION;DATATYPE;SPECIFIER;ATTRIBUTES
TAG;;Clear_MajorFaultLog;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;COD_FALLA_ENBT01;"";"DINT";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;DATE_TIME_PAC;"";"UDT_Wall_Clock_Time";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;DATOS_ECN;"";"DINT[30]";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;DATOS_JCP;"";"DINT[30]";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;DATOS_PH;"";"DINT[30]";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;Descarga_Camiones;"";"UDT_Carga_Descarga";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;DPT;"";"REAL";"";"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG;;DPT_950_FB103;"";"REAL";"";"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG;;DPT_950_FB103_Raw;"";"REAL";"";"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG;;EIF_400A;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;EIF_400B;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;FaultLogClear;"";"UDT_FaultRecord";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;FAULTS_MODULES;"";"UDT_MODULES_FAULTS[31]";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;FIT_101D;"";"REAL";"";"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG;;FIT_101D_Fault;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;FIT_101E;"";"REAL";"";"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG;;FIT_101E_Fault;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;FIT_JCP_PIL_NAT;"";"F_AI";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;FlashBaliza;"";"TIMER";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;FlashBaliza2;"";"TIMER";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;FlashSirena;"";"TIMER";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;FlashSirena2;"";"TIMER";"";"(Constant := false, ExternalAccess := Read/Write)"
TAG;;FLOW_Acc_Ayer_FB103;"";"REAL";"";"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG;;FLOW_Acc_Dia_FB103;"";"REAL";"";"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG;;FLOW_Acc_NoReset_FB103;"";"REAL";"";"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG;;FLOW_FB103;"";"REAL";"";"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG;;FSL_310A;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;FSL_310B;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;HMI_Alarma_Severidad_1;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;HMI_JCP_FIT_0101C_CFG_PVLLAlmEnable;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;HMI_jcp_LIT_5014_CFG_PVLAlmEnable;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;HMI_jcp_LIT_5015_CFG_PVLAlmEnable;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;HMI_jcp_LIT_51B14_CFG_PVLAlmEnable;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;HMI_JCP_PIT_0101A_CFG_PVHHAlmEnable;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG;;HMI_JCP_PIT_0101B_CFG_PVHHAlmEnable;"";"BOOL";"";"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
